Time, 	 ECG 
0.000000e+00, 	 -1.831050e-14 
1.000000e+00, 	 1.775415e-14 
2.000000e+00, 	 -2.111900e-14 
3.000000e+00, 	 -1.021131e-14 
4.000000e+00, 	 9.151783e-15 
5.000000e+00, 	 1.406202e-14 
6.000000e+00, 	 6.507297e-14 
7.000000e+00, 	 3.178812e-14 
8.000000e+00, 	 -6.613769e-15 
9.000000e+00, 	 1.698806e-14 
1.000000e+01, 	 1.079443e-14 
1.100000e+01, 	 -1.888711e-08 
1.200000e+01, 	 2.053485e-08 
1.300000e+01, 	 -1.264555e-08 
1.400000e+01, 	 -3.840686e-07 
1.500000e+01, 	 4.603804e-06 
1.600000e+01, 	 -5.717843e-06 
1.700000e+01, 	 1.331065e-05 
1.800000e+01, 	 -1.969510e-05 
1.900000e+01, 	 1.070808e-05 
2.000000e+01, 	 4.210596e-05 
2.100000e+01, 	 -1.486422e-04 
2.200000e+01, 	 2.927414e-04 
2.300000e+01, 	 -3.641574e-04 
2.400000e+01, 	 1.098780e-04 
2.500000e+01, 	 7.620386e-04 
2.600000e+01, 	 -2.616092e-03 
2.700000e+01, 	 5.688937e-03 
2.800000e+01, 	 -8.006850e-03 
2.900000e+01, 	 7.997222e-03 
3.000000e+01, 	 1.126870e-02 
3.100000e+01, 	 -3.557825e-02 
3.200000e+01, 	 1.911369e-01 
3.300000e+01, 	 -5.990583e-02 
3.400000e+01, 	 8.362712e-01 
3.500000e+01, 	 4.927946e+00 
3.600000e+01, 	 6.443363e+00 
3.700000e+01, 	 1.332155e+01 
3.800000e+01, 	 2.307263e+01 
3.900000e+01, 	 4.971129e+01 
4.000000e+01, 	 8.713977e+01 
4.100000e+01, 	 1.258764e+02 
4.200000e+01, 	 1.721309e+02 
4.300000e+01, 	 2.221359e+02 
4.400000e+01, 	 1.204512e+02 
4.500000e+01, 	 1.374284e+02 
4.600000e+01, 	 1.217522e+02 
4.700000e+01, 	 -7.163593e+01 
4.800000e+01, 	 -6.576250e+02 
4.900000e+01, 	 -6.172292e+02 
5.000000e+01, 	 -5.716953e+02 
5.100000e+01, 	 -5.278807e+02 
5.200000e+01, 	 -4.755526e+02 
5.300000e+01, 	 -4.065638e+02 
5.400000e+01, 	 -2.916815e+02 
5.500000e+01, 	 -2.317739e+02 
5.600000e+01, 	 -1.884647e+02 
5.700000e+01, 	 -1.412908e+02 
5.800000e+01, 	 -1.148178e+02 
5.900000e+01, 	 -7.647682e+01 
6.000000e+01, 	 -5.215008e+01 
6.100000e+01, 	 -3.254151e+01 
6.200000e+01, 	 -2.700047e+01 
6.300000e+01, 	 -2.210468e+01 
6.400000e+01, 	 -1.806729e+01 
6.500000e+01, 	 -1.544432e+01 
6.600000e+01, 	 -1.270883e+01 
6.700000e+01, 	 -1.055028e+01 
6.800000e+01, 	 -8.854424e+00 
6.900000e+01, 	 -7.010206e+00 
7.000000e+01, 	 -5.624799e+00 
7.100000e+01, 	 -4.018494e+00 
7.200000e+01, 	 -2.827532e+00 
7.300000e+01, 	 -1.998220e+00 
7.400000e+01, 	 -9.789854e-01 
7.500000e+01, 	 -4.332592e-01 
7.600000e+01, 	 -2.563137e-02 
7.700000e+01, 	 1.430662e-01 
7.800000e+01, 	 2.498734e-01 
7.900000e+01, 	 2.820874e-01 
8.000000e+01, 	 2.890921e-01 
8.100000e+01, 	 2.962716e-01 
8.200000e+01, 	 3.036303e-01 
8.300000e+01, 	 3.111728e-01 
8.400000e+01, 	 3.189036e-01 
8.500000e+01, 	 3.268275e-01 
8.600000e+01, 	 3.349494e-01 
8.700000e+01, 	 3.432743e-01 
8.800000e+01, 	 3.518074e-01 
8.900000e+01, 	 3.605538e-01 
9.000000e+01, 	 3.695190e-01 
9.100000e+01, 	 3.787086e-01 
9.200000e+01, 	 3.881282e-01 
9.300000e+01, 	 3.977837e-01 
9.400000e+01, 	 4.076810e-01 
9.500000e+01, 	 4.178263e-01 
9.600000e+01, 	 4.282259e-01 
9.700000e+01, 	 4.388863e-01 
9.800000e+01, 	 4.498140e-01 
9.900000e+01, 	 4.610159e-01 
1.000000e+02, 	 4.724991e-01 
